city,year,month,mean_temp,days,baseline_mean,baseline_std,anomaly,z_score
Vilnius,2026,1,-9.1,9,,,,
Vilnius,2026,2,-5.68,28,,,,
Vilnius,2026,3,6.68,27,,,,
